"id";"instance_id";"item_id";"test_equipment_pn";"test_equipment_description";"test_asset_category_path";"category_id";"test_equipment_internal_descrip";"test_asset_name";"test_asset_name_type";"utilization_status_id";"status";"quantity";"location_org_id";"location_org";"location_id";"locator_id";"default_location_id";"default_locator_id";"location";"locator";"location_type";"location_restricted_flag";"default_location";"default_locator";"restricted_pn_list";"instance_departments"
"11";"7949";"2557";"532655C-01";"STATION TYPE FOR USB 621X EXTENDED DIO BUS POWERED USB M SERIES";"Test Equipments / Test Stations";"42";"USB-6212/ 6216MT/ OEM";"TS269-NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"459261";;"459261.0";;"DAQ&C3";;"TAFU";"N";"DAQ&C3";;;"Mfg Test"
"12";"7954";"2297";"534829H-02";"STATION TYPE FOR CONTROLLERS UNIVERSAL TEST STATION";"Test Equipments / Test Stations";"42";"Universal Controllers";"CONT0301106NIH";"SERIAL";"3.0";"In use";"1";"1027";"DEB";"459261";;"459300.0";"463029.0";"DAQ&C3";;"TAFU";"N";"DAQ&C4";"Production";;"Mfg Test"
"13";"7977";"35986";"533486C-001";"STATION TYPE FOR CRIO MODULES AND WSN NODES WITH AUDIO PRECISION AND JTAG OPTION";"Test Equipments / Test Stations";"42";"C-001 variant cRIo Module UTS";"CRIO0101108NIH";"SERIAL";"3.0";"In use";"1";"1027";"DEB";"459260";"463050.0";"459260.0";"463050.0";"DAQ&C1";"Production";"TAFU";"N";"DAQ&C1";"Production";"157226D-01L, 157225D-01L";"Mfg Test, Mfg Test"
"14";"7984";"2579";"531435A-01";"STATION TYPE FOR CFP AND FP (FIELDPOINT), FVT";"Test Equipments / Test Stations";"42";"FieldPoint";"TS078-NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"23710";"90061.0";;;"Dinamikus lokációk";"C";"TAFU";"N";;;;"Mfg Test"
"15";"7987";"2520";"531655C-01";"STATION TYPE FOR USB 62XX PRODUCTS";"Test Equipments / Test Stations";"42";"MIO, USB-62xx";"TS200-NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"459261";;"459261.0";;"DAQ&C3";;"TAFU";"N";"DAQ&C3";;;"Mfg Test"
"16";"8007";"2517";"535240A-01";"STATION TYPE FOR MIO DAQ 6.9.3 PRODUCTS, ULTIMATE I, ITOX MOTHERBOARD";"Test Equipments / Test Stations";"42";"DAQ-6.9.3";"TS090-NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"126235";"154359.0";"459261.0";;"Logisztikai polcok";"Logistic";"TAFU";"N";"DAQ&C3";;;"Mfg Test"
"17";"9669";"2303";"533281A-01";"STATION TYPE FOR ULTIMATE I FOR NIH ONLY";"Test Equipments / Test Stations";"42";"Multifunction DAQ U1";"TS155-NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"462640";;"23760.0";;"BU - FIS";;"TAFU";"N";"Test'n RF";;;"Mfg Test"
"18";"9674";"21781";"531027D-01";"STATION TYPE FOR STATIC DIO FVT ARCHITECTURE";"Test Equipments / Test Stations";"42";"Static DIO";"TS011-NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"23736";"151271.0";"459261.0";;"BU - RMA";"RMA";"TAFU";"N";"DAQ&C3";;;"Mfg Test"
"19";"9678";"2295";"532098B-01";"STATION TYPE FOR PCI/PXI/PCIE/PXIE M SERIES PRODUCTS";"Test Equipments / Test Stations";"42";"M- Series";"TS139-NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"459261";;"459261.0";;"DAQ&C3";;"TAFU";"N";"DAQ&C3";;;"Mfg Test"
"20";"9686";"2301";"532218A-01";"STATION TYPE FOR DSA, NI-449X, USB-443X, PXI-4461(REV L LEAD FREE PRODUCTS AND ABOVE)";"Test Equipments / Test Stations";"42";"DSA";"TS396-NIH";"SERIAL";"3.0";"In use";"1";"1027";"DEB";"23736";"151271.0";"459261.0";;"BU - RMA";"RMA";"TAFU";"N";"DAQ&C3";;;"Mfg Test"
"21";"9688";"2944";"538424A-00";"STATION TYPE FOR NI 5541 MERLOT, MODULE FVT";"Test Equipments / Test Stations";"42";"STATION TYPE FOR NI 5541 MERLOT, MODULE FVT";"TS438-NIH";"SERIAL";"1.0";"Unplanned downtime";"1";"1027";"DEB";"23736";;;;"BU - RMA";;"TAFU";"N";;;;"Mfg Test"
"22";"9694";"2950";"534493A-01";"STATION TYPE FOR NIH PCIE/PXIE STATIC BURN-IN";"Test Equipments / Test Stations";"42";"PCIe/PXIe-653x   SHELTE BURN-IN";"TS350-NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"23738";;"23760.0";;"BU - Static burnin";;"TAFU";"N";"Test'n RF";;;"Mfg Test"
"23";"9713";"2288";"533265C-01";"STATION TYPE FOR SNAPP PCIE/PXIE USING A SSD";"Test Equipments / Test Stations";"42";;"TS219-NIH";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"23760";;"23760.0";;"Test'n RF";;"TAFU";"N";"Test'n RF";;;"Mfg Test"
"24";"24815";"15113";"534017A-KIT";"TEST KIT FOR CRIO-9022 POWER SUPPLY, FVT";"Test Equipments / KIT / FVT";"1250";;"534017A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"148835.0";"121930.0";"148835.0";"Remstar #5 (KIT)";"M16A41";"POT";"Y";"Remstar #5 (KIT)";"M16A41";;"Mfg Test"
"25";"24817";"15115";"534587A-KIT";"TEST KIT FOR PXI/PXIe-2527/2529 HIPOT SWITCHES";"Test Equipments / KIT / FVT";"1250";;"534587A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"23760";;"121930.0";"148837.0";"Test'n RF";;"TAFU";"N";"Remstar #5 (KIT)";"M13B07";;"Mfg Test"
"26";"24848";"15144";"539221A-040";"TEST KIT FOR HSDIO, PXIE-6591R, FVT";"Test Equipments / KIT / FVT";"1250";;"539221A-040_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121944";"148868.0";"121944.0";"148868.0";"POT-os szekrény A";"T5A07";"POT";"Y";"POT-os szekrény A";"T5A07";;"Mfg Test"
"27";"24854";"15150";"534208A-KIT";"TEST KIT FOR SERIAL PCIE/PXIE-8430/8431 16/8 PORTS (843X)";"Test Equipments / KIT / FVT";"1250";;"534208A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"148874.0";"121930.0";"148874.0";"Remstar #5 (KIT)";"M24G01";"POT";"Y";"Remstar #5 (KIT)";"M24G01";;"Mfg Test"
"28";"24868";"15071";"746234-01";"PCI EXTENDER CARD,PCI,HOT SWAP,5V";"Test Equipments / KIT / FVT";"1250";;"PCIXT10";"SERIAL";"3.0";"In use";"1";"1027";"DEB";"459261";;"121930.0";"443259.0";"DAQ&C3";;"TAFU";"N";"Remstar #5 (KIT)";"M13D001";;"Mfg Test"
"29";"24893";"15181";"530595A-KIT";"TEST KIT FOR BNC-2111";"Test Equipments / KIT / FVT";"1250";;"530595A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"148913.0";"121930.0";"148913.0";"Remstar #5 (KIT)";"M24B01";"POT";"Y";"Remstar #5 (KIT)";"M24B01";;"Mfg Test"
"30";"24908";"15192";"531362A-KIT";"TEST KIT FOR PXI-4204,4220,4224";"Test Equipments / KIT / FVT";"1250";;"531362A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"148928.0";"121930.0";"148928.0";"Remstar #5 (KIT)";"M24E05";"POT";"Y";"Remstar #5 (KIT)";"M24E05";;"Mfg Test"
"31";"24918";"15201";"537449A-30";"TEST KIT FOR CRIO BACKPLANES, LOAD MODULES, FVT";"Test Equipments / KIT / FVT";"1250";;"537449A-30_104";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"148938.0";"121930.0";"148938.0";"Remstar #5 (KIT)";"M13A52";"POT";"Y";"Remstar #5 (KIT)";"M13A52";;"Mfg Test"
"32";"24928";"15210";"537557A-30";"TEST KIT FOR CRIO-908X, LOAD MODULES";"Test Equipments / KIT / FVT";"1250";;"537557A-30_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"148948.0";"121930.0";"148948.0";"Remstar #5 (KIT)";"M13A19";"POT";"Y";"Remstar #5 (KIT)";"M13A19";;"Mfg Test"
"33";"24964";"15104";"534987A-KIT";"TEST KIT FOR CFP-22X0 CONTROLLERS, FVT";"Test Equipments / KIT / FVT";"1250";;"534987A-KIT_101";"SERIAL";"21.0";"Planned downtime";"1";"1027";"DEB";"121930";"148983.0";"121930.0";"148983.0";"Remstar #5 (KIT)";"M13B20";"POT";"Y";"Remstar #5 (KIT)";"M13B20";;"Mfg Test"
"34";"24990";"15262";"530218A-KIT";"TEST KIT FOR BNC-2120";"Test Equipments / KIT / FVT";"1250";;"530218A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121944";"149009.0";"121944.0";"149009.0";"POT-os szekrény A";"T4A12";"POT";"Y";"POT-os szekrény A";"T4A12";;"Mfg Test"
"35";"24994";"15265";"538941A-50";"TE, ITA FOR PXIE-782X";"Test Equipments / ITA";"1211";;"538941A-50_101";"SERIAL";"3.0";"In use";"1";"1027";"DEB";"23733";;"121930.0";"149013.0";"BU - Recal";;"TAFU";"N";"Remstar #5 (KIT)";"M21F01";;"Mfg Test"
"36";"25009";"15278";"530270A-KIT";"TEST KIT FOR XX30 DAUGHTER CARD";"Test Equipments / KIT / FVT";"1250";;"530270A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"149028.0";"121930.0";"149028.0";"Remstar #5 (KIT)";"M24C01";"POT";"Y";"Remstar #5 (KIT)";"M24C01";;"Mfg Test"
"37";"25010";"15279";"531046A-KIT";"TEST KIT FOR USB-8451, FVT";"Test Equipments / KIT / FVT";"1250";;"531046A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"149029.0";"121930.0";"149029.0";"Remstar #5 (KIT)";"M13B37";"POT";"Y";"Remstar #5 (KIT)";"M13B37";;"Mfg Test"
"38";"25055";"15313";"532807A-KIT";"TEST KIT FOR 532807A-07 TEST FIXTURE, CABLES TO TEST SMA-2164 AND SMA-2165";"Test Equipments / KIT / FVT";"1250";;"532807A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"149074.0";"121930.0";"149074.0";"Remstar #5 (KIT)";"M13C28";"POT";"Y";"Remstar #5 (KIT)";"M13C28";;"Mfg Test"
"39";"25067";"15152";"530254A-KIT";"TEST KIT FOR NI-PCI/PXI-781X/783XR (78XX)";"Test Equipments / KIT / FVT";"1250";;"530254A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"149086.0";"121930.0";"149086.0";"Remstar #5 (KIT)";"M13A25";"POT";"Y";"Remstar #5 (KIT)";"M13A25";;"Mfg Test"
"40";"25074";"15210";"537557A-30";"TEST KIT FOR CRIO-908X, LOAD MODULES";"Test Equipments / KIT / FVT";"1250";;"537557A-30_102";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"149093.0";"121930.0";"149093.0";"Remstar #5 (KIT)";"M13A20";"POT";"Y";"Remstar #5 (KIT)";"M13A20";;"Mfg Test"
"41";"25147";"15380";"530681A-KIT";"TEST KIT TB-2627, FVT";"Test Equipments / KIT / FVT";"1250";;"E531C4";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"149166.0";"121930.0";"149166.0";"Remstar #5 (KIT)";"M13C38";"POT";"Y";"Remstar #5 (KIT)";"M13C38";;"Mfg Test"
"42";"25291";"15489";"536350B-02";"TEST KIT FOR 65XX SE & LVDS WRAPBACK (6583)";"Test Equipments / KIT / FVT";"1250";;"536350B-02_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"149310.0";"121930.0";"149310.0";"Remstar #5 (KIT)";"M13A31";"POT";"Y";"Remstar #5 (KIT)";"M13A31";;"Mfg Test"
"43";"25298";"15495";"536473A-KIT";"TEST KIT FOR IMAQ-1483, FVT";"Test Equipments / KIT / FVT";"1250";;"536473A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"149317.0";"121930.0";"149317.0";"Remstar #5 (KIT)";"M13B34";"POT";"Y";"Remstar #5 (KIT)";"M13B34";;"Mfg Test"
"44";"25434";"15604";"536353A-KIT";"TEST KIT FOR MCC PCI-CTR5, FVT";"Test Equipments / KIT / FVT";"1250";;"536353A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"149450.0";"121930.0";"149450.0";"Remstar #5 (KIT)";"M21A02";"POT";"Y";"Remstar #5 (KIT)";"M21A02";;"Mfg Test"
"45";"25435";"15605";"538810A-05";"TEST KIT, PXIE-446X, FVT";"Test Equipments / KIT / FVT";"1250";;"538810A-05_102";"SERIAL";"3.0";"In use";"1";"1027";"DEB";"23770";;"121930.0";"149451.0";"Laborok - FVT Test tech labor";;"TAFU";"N";"Remstar #5 (KIT)";"M22E02";;"Mfg Test"
"46";"25441";"15611";"531217A-04";"TEST KIT, PXI-6683(H) BURN AND CALIBRATION";"Test Equipments / KIT / FVT";"1250";;"531217A-04_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"149457.0";"121930.0";"149457.0";"Remstar #5 (KIT)";"M13B44";"POT";"Y";"Remstar #5 (KIT)";"M13B44";;"Mfg Test"
"47";"25471";"15106";"536384A-KIT";"TEST KIT FOR THE NI 6581, FLEXRIOTEST KIT FOR THE NI 6581, FLEXRIO";"Test Equipments / KIT / FVT";"1250";;"536384A-KIT_102";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"149486.0";"121930.0";"149486.0";"Remstar #5 (KIT)";"M13B57";"POT";"Y";"Remstar #5 (KIT)";"M13B57";;"Mfg Test"
"48";"25654";"15790";"538509A-01";"TEST KIT FOR PXIE-797XR, FVT";"Test Equipments / KIT / FVT";"1250";;"538509A-01_101";"SERIAL";"3.0";"In use";"1";"1027";"DEB";"23780";;"121930.0";"149665.0";"Laborok - ICT/Cal Test tech labor";;"TAFU";"N";"Remstar #5 (KIT)";"M13C32";;"Mfg Test"
"49";"25749";"15862";"531517A-KIT";"TEST KIT FOR SMIO,PCI-6154";"Test Equipments / KIT / FVT";"1250";;"531517A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"149757.0";"121930.0";"149757.0";"Remstar #5 (KIT)";"M13A40";"POT";"Y";"Remstar #5 (KIT)";"M13A40";;"Mfg Test"
"50";"25798";"15903";"536376A-KIT";"TEST KIT FOR MCC SWITCH & SENSE-8/8";"Test Equipments / KIT / FVT";"1250";;"536376A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"149805.0";"121930.0";"149805.0";"Remstar #5 (KIT)";"M21C03";"POT";"Y";"Remstar #5 (KIT)";"M21C03";;"Mfg Test"
"51";"25822";"15920";"533967A-KIT";"TEST KIT FOR DAQCARD-500/516/700/1200";"Test Equipments / KIT / FVT";"1250";;"533967A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121944";"149828.0";"121944.0";"149828.0";"POT-os szekrény A";"T3D01";"POT";"Y";"POT-os szekrény A";"T3D01";;"Mfg Test"
"52";"25971";"15346";"537428A-03";"TEST KIT FOR NI 2531, FVT";"Test Equipments / KIT / FVT";"1250";;"537428A-03_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"149973.0";"121930.0";"149973.0";"Remstar #5 (KIT)";"M25B01";"POT";"Y";"Remstar #5 (KIT)";"M25B01";;"Mfg Test"
"53";"26001";"16058";"533037A-KIT";"TEST KIT FOR USB-4065, HIPOT";"Test Equipments / KIT / FVT";"1250";;"533037A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"150002.0";"121930.0";"150002.0";"Remstar #5 (KIT)";"M13B59";"POT";"Y";"Remstar #5 (KIT)";"M13B59";;"Mfg Test"
"54";"26452";"16392";"530156A-KIT";"TEST KIT FOR SC-2311";"Test Equipments / KIT / FVT";"1250";;"530156A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121944";"150446.0";"121944.0";"150446.0";"POT-os szekrény A";"T3A01";"POT";"Y";"POT-os szekrény A";"T3A01";;"Mfg Test"
"55";"26469";"16372";"530443A-KIT";"TEST KIT FOR DAQPAD-6020E/6052E/6070E";"Test Equipments / KIT / FVT";"1250";;"530443A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"150463.0";"121930.0";"150463.0";"Remstar #5 (KIT)";"M25B02";"POT";"Y";"Remstar #5 (KIT)";"M25B02";;"Mfg Test"
"56";"26539";"15117";"531764A-KIT";"TEST KIT FOR USB-625X OEM VERSIONS";"Test Equipments / KIT / FVT";"1250";;"531764A-KIT_102";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"150531.0";"121930.0";"150531.0";"Remstar #5 (KIT)";"M21K02";"POT";"Y";"Remstar #5 (KIT)";"M21K02";;"Mfg Test"
"57";"26792";"16623";"532064A-01";"C SERIES, BOARD ONLY FIXTURE, ASSEMBLY";"Test Equipments / KIT / FVT";"1250";;"532064A-01_103";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"150759.0";"121930.0";"150759.0";"Remstar #5 (KIT)";"M16A49";"POT";"Y";"Remstar #5 (KIT)";"M16A49";;"Mfg Test"
"58";"27265";"16973";"182470C-02";"CCA,SCB-68, ROUTING FOR KIT";"Test Equipments / KIT / FVT";"1250";;"DCE8AC";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121928";"151224.0";"121928.0";"151224.0";"Remstar #3 (POT)";"X11A26";"POT";"Y";"Remstar #3 (POT)";"X11A26";;"Mfg Test"
"59";"27530";"17155";"530171A-KIT";"TEST KIT, PCI-5911";"Test Equipments / KIT / FVT";"1250";;"530171A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121080";"153751.0";"121080.0";"153751.0";"Küls¿ raktár";"TS-0022-1";"SPARE";"N";"Küls¿ raktár";"TS-0022-1";;"Mfg Test"
"60";"27640";"17237";"540002A-03";"NI 9860 MODULE ASSEMBLY, TEST EQUIPMENT FOR NI-XNET TRANSCEIVER CABLE 2.0";"Test Equipments / KIT / FVT";"1250";;"540002A-03_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"151586.0";"121930.0";"151586.0";"Remstar #5 (KIT)";"M13E28";"POT";"Y";"Remstar #5 (KIT)";"M13E28";;"Mfg Test"
"61";"27789";"17341";"540005A-300";"TE, ASSEMBLY, MAIN, MECHANICAL, USB-850X (X-NET) FVT FIXTURE";"Test Equipments / KIT / FVT";"1250";;"540005A-300_101";"SERIAL";"3.0";"In use";"1";"1027";"DEB";"23736";;"121935.0";"151718.0";"BU - RMA";;"TAFU";"N";"POT-os salgó D";"D7A01";;"Mfg Test"
"62";"27941";"17483";"540101A-02";"TEST KIT FOR BYO ATE EPO PANEL PROGRAMMING";"Test Equipments / KIT / FVT";"1250";;"540101A-02_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"23733";;"121930.0";"151868.0";"BU - Recal";;"TAFU";"N";"Remstar #5 (KIT)";"M16E02";;"Mfg Test"
"63";"28127";"17640";"540596A-20";"TE, TEST FIXTURE FOR WIRELESS MCM ANALOG INPUT (SPIDER), IFT";"Test Equipments / KIT / FVT";"1250";;"540596A-20_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"152052.0";"121930.0";"152052.0";"Remstar #5 (KIT)";"M22F01";"POT";"Y";"Remstar #5 (KIT)";"M22F01";;"Mfg Test"
"64";"28243";"17721";"540919A-400";"GREEN LANTERN (PXIE-4132)";"Test Equipments / KIT / FVT";"1250";;"540919A-400_103";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"152162.0";"121930.0";"152162.0";"Remstar #5 (KIT)";"M16A32";"POT";"Y";"Remstar #5 (KIT)";"M16A32";;"Mfg Test"
"65";"28246";"17722";"540919A-300";"AZRAEL (PXIE-4135/6/7)";"Test Equipments / KIT / FVT";"1250";;"540919A-300_103";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"121930";"152165.0";"121930.0";"152165.0";"Remstar #5 (KIT)";"M16A38";"POT";"Y";"Remstar #5 (KIT)";"M16A38";;"Mfg Test"
"66";"28464";"17891";"540218B-10_101";"FieldDAQ Strain/Bridge TEST FIXTURE";"Test Equipments / KIT / FVT";"1250";;"540218B-10";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"459260";"463050.0";"121930.0";"152352.0";"DAQ&C1";"Production";"TAFU";"N";"Remstar #5 (KIT)";"M15C01";;"Mfg Test"
"67";"29201";"18248";"537652A-02";"TE, MCC-UTS LARGE EXTENDER PLATE";"Test Equipments / Fixture";"1210";;"537652A-02_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"459300";"463029.0";"459300.0";"463029.0";"DAQ&C4";"Production";"TAFU";"N";"DAQ&C4";"Production";;"Mfg Test"
"68";"29231";"18268";"538665A-04";"TEST KIT FOR LABVIEW RIO EVAL (SBZYNQ), FVT";"Test Equipments / Fixture";"1210";;"538665A-04_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"126235";"154153.0";"126235.0";"154153.0";"Logisztikai polcok";"#Log-11/1";"TAFU";"N";"Logisztikai polcok";"#Log-11/1";;"Mfg Test"
"69";"29278";"12417";"531100A-01";"PCB, TE, FIXTURE, HIGH SPEED SWITCH SUBSYSTEM ADAPTER";"Test Equipments / Fixture";"1210";;"531100A-01_104";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"126235";"154155.0";"126235.0";"154155.0";"Logisztikai polcok";"#Log-11/3";"TAFU";"N";"Logisztikai polcok";"#Log-11/3";;"Mfg Test"
"70";"29279";"12501";"532697A-01";"TE, NI 9870 RS232 PASSTHROUGH BOARD ASSEMBLY";"Test Equipments / Fixture";"1210";;"532697A-01_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"126235";"154155.0";"126235.0";"154155.0";"Logisztikai polcok";"#Log-11/3";"TAFU";"N";"Logisztikai polcok";"#Log-11/3";;"Mfg Test"
"71";"29311";"18318";"540334A-04";"TE, WEBDAQ CCA IFT/FVT1 TEST FIXTURE";"Test Equipments / Fixture";"1210";;"540334A-04_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"459300";"463029.0";"459300.0";"463029.0";"DAQ&C4";"Production";"TAFU";"N";"DAQ&C4";"Production";;"Mfg Test"
"72";"29316";"18322";"531196A-01";"TE, SCXI-1600 TEST CHASSIS";"Test Equipments / Fixture";"1210";;"531196A-01_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"126235";"154160.0";"126235.0";"154160.0";"Logisztikai polcok";"#Log-13/3";"TAFU";"N";"Logisztikai polcok";"#Log-13/3";;"Mfg Test"
"73";"29318";"18324";"536413A-KIT";"TEST KIT FOR NI 28XX, SUBCARDS, HIPOT";"Test Equipments / Fixture";"1210";;"536413A-KIT_101";"SERIAL";"2.0";"Available";"1";"1027";"DEB";"23770";;"126235.0";"154160.0";"Laborok - FVT Test tech labor";;"TAFU";"N";"Logisztikai polcok";"#Log-13/3";;"Mfg Test"
